model,temperature,source_en,reference_fr,hypothesis,BLEU,ROUGE-1,ROUGE-L
Ollama llama3.2,0.8,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Il peut résulter de ou conduire à des problèmes à l'école et au travail.,3.9297193407553013,40.00000000000001,26.666666666666668
Ollama llama3.2,1.0,It can result from or lead to problems at school and at work.,Elle peut être la conséquence ou l’origine de problèmes scolaires ou professionnels.,Cela peut en résulter ou en aboutir à des problèmes à l'école et au travail.,3.4585921141027365,32.25806451612903,25.80645161290323
HF opus-mt,n/a,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut arriver à n'importe qui.,7.809849842300641,75.0,37.5
Ollama llama3.2,0.0,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut toucher n'importe qui.,9.287528999566801,75.0,37.5
Ollama llama3.2,0.2,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut toucher n'importe qui.,9.287528999566801,75.0,37.5
Ollama llama3.2,0.5,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut toucher n'importe qui.,9.287528999566801,75.0,37.5
Ollama llama3.2,0.8,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut toucher n'importe qui.,9.287528999566801,75.0,37.5
Ollama llama3.2,1.0,Depression can happen to anyone.,N’importe qui peut souffrir de dépression.,La dépression peut toucher n'importe qui.,9.287528999566801,75.0,37.5
HF opus-mt,n/a,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu des mauvais traitements, des pertes graves ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.84518952595868,64.28571428571429,64.28571428571429
Ollama llama3.2,0.0,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu à travers des abus, des pertes sévères ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.155664022808967,62.06896551724138,62.06896551724138
Ollama llama3.2,0.2,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu des abus, des pertes sévères ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.813506842117125,63.15789473684211,63.15789473684211
Ollama llama3.2,0.5,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu à travers l'abus, des pertes graves ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.160804643722013,64.28571428571429,64.28571428571429
Ollama llama3.2,0.8,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu de la violence, des pertes graves ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.511558841328508,67.85714285714286,64.28571428571429
Ollama llama3.2,1.0,"People who have lived through abuse, severe losses or other stressful events are more likely to develop depression.",Les personnes victimes de maltraitance ou ayant vécu des pertes traumatisantes ou d’autres événements stressants sont plus susceptibles que les autres de souffrir de dépression.,"Les personnes qui ont vécu à travers une abus, des pertes graves ou d'autres événements stressants sont plus susceptibles de développer une dépression.",20.155664022808967,64.28571428571429,64.28571428571429
HF opus-mt,n/a,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles d'avoir une dépression que les hommes.,23.462350320527996,60.8695652173913,43.47826086956522
Ollama llama3.2,0.0,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles de souffrir de dépression que les hommes.,21.401603033752977,60.8695652173913,43.47826086956522
Ollama llama3.2,0.2,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles de souffrir de dépression que les hommes.,21.401603033752977,60.8695652173913,43.47826086956522
Ollama llama3.2,0.5,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles de souffrir de dépression que les hommes.,21.401603033752977,60.8695652173913,43.47826086956522
Ollama llama3.2,0.8,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles de souffrir de dépression que les hommes.,21.401603033752977,60.8695652173913,43.47826086956522
Ollama llama3.2,1.0,Women are more likely to have depression than men.,La dépression touche davantage les femmes que les hommes.,Les femmes sont plus susceptibles de souffrir de dépression que les hommes.,21.401603033752977,60.8695652173913,43.47826086956522
HF opus-mt,n/a,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","On estime que 4 % de la population souffre de dépression, dont 5,7 % d'adultes (4,6 % chez les hommes et 6,9 % chez les femmes), et 5,9 % d'adultes âgés de 70 ans et plus.",44.610060441796726,77.92207792207793,77.92207792207793
Ollama llama3.2,0.0,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","Une estimation indique que 4 % de la population souffrent de dépression, y compris 5,7 % d'adultes (4,6 % chez les hommes et 6,9 % chez les femmes), et 5,9 % d'adultes âgés de 70 ans et plus.",22.31478817102882,68.35443037974684,68.35443037974684
Ollama llama3.2,0.2,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","Une estimation indique que 4 % de la population souffrent de dépression, y compris 5,7 % des adultes (4,6 % chez les hommes et 6,9 % chez les femmes), et 5,9 % des adultes âgés de 70 ans et plus.",35.58358916442461,73.41772151898734,73.41772151898734
Ollama llama3.2,0.5,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","Une estimation indique que 4 % de la population sont touchés par la dépression, y compris 5,7 % des adultes (4,6 % chez les hommes et 6,9 % chez les femmes), et 5,9 % des adultes de 70 ans et plus.",33.39673038800711,67.5,67.5
Ollama llama3.2,0.8,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","Près de 4 % de la population éprouvent la dépression, y compris 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des adultes âgés de 70 ans et plus.",58.87320447169225,76.31578947368422,73.68421052631578
Ollama llama3.2,1.0,"An estimated 4% of the population experience depression, including 5.7% of adults (4.6% among men and 6.9% among women), and 5.9% of adults aged 70 years and older.","On estime que 4,0 % de la population souffre de dépression, dont 5,7 % des adultes (4,6 % des hommes et 6,9 % des femmes) et 5,9 % des personnes âgées de 70 ans ou plus.","Une estimation de 4 % de la population vivent une dépression, y compris 5,7 % d'adultes (4,6 % parmi les hommes et 6,9 % parmi les femmes), et 5,9 % d'adultes âgés de 70 ans et plus.",21.57823433878961,66.66666666666667,64.1025641025641
HF opus-mt,n/a,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Environ 332 millions de personnes dans le monde ont une dépression (1) .,38.55396185961497,61.53846153846154,61.53846153846154
Ollama llama3.2,0.0,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Environ 332 millions de personnes dans le monde souffrent de dépression.,22.715713055706516,71.99999999999999,71.99999999999999
Ollama llama3.2,0.2,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Environ 332 millions de personnes dans le monde souffrent de dépression.,22.715713055706516,71.99999999999999,71.99999999999999
Ollama llama3.2,0.5,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Approximativement 332 millions de personnes dans le monde souffrent de dépression.,22.715713055706516,64.0,64.0
Ollama llama3.2,0.8,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Approximativement 332 millions de personnes dans le monde sont atteintes de dépression (1).,45.788313721339826,59.25925925925927,59.25925925925927
Ollama llama3.2,1.0,Approximately 332 million people in the world have depression (1) .,"À l’échelle mondiale, environ 332 millions de personnes souffrent de dépression (1) .",Environ 332 millions de personnes dans le monde souffrent de dépression.,22.715713055706516,71.99999999999999,71.99999999999999
HF opus-mt,n/a,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes que chez les hommes.",56.76721706387804,88.88888888888889,88.88888888888889
Ollama llama3.2,0.0,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes que chez les hommes.",56.76721706387804,88.88888888888889,88.88888888888889
Ollama llama3.2,0.2,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes que chez les hommes.",56.76721706387804,88.88888888888889,88.88888888888889
Ollama llama3.2,0.5,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes que chez les hommes.",56.76721706387804,88.88888888888889,88.88888888888889
Ollama llama3.2,0.8,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes que chez les hommes.",56.76721706387804,88.88888888888889,88.88888888888889
Ollama llama3.2,1.0,Depression is about 1.5 times more common among women than among men.,"La dépression est environ 1,5 fois plus fréquente chez la femme que chez l’homme.","La dépression est environ 1,5 fois plus fréquente chez les femmes qu'entre les hommes.",56.591192566527035,77.77777777777779,77.77777777777779
HF opus-mt,n/a,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .","Dans le monde entier, plus de 10 % des femmes enceintes et celles qui viennent d'accoucher souffrent de dépression (2) .",65.31420255892324,90.47619047619048,90.47619047619048
Ollama llama3.2,0.0,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .",Plus de 10 % des femmes enceintes et des femmes qui ont récemment donné naissance éprouvent la dépression.,38.812013301394295,60.0,60.0
Ollama llama3.2,0.2,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .",Plus de 10 % des femmes enceintes et des femmes qui ont récemment donné naissance éprouvent la dépression.,38.812013301394295,60.0,60.0
Ollama llama3.2,0.5,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .","Au monde entier, plus de 10 % des femmes enceintes et celles qui viennent de donner naissance éprouvent la dépression.",38.708652672323936,63.41463414634146,63.41463414634146
Ollama llama3.2,0.8,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .","D'une manière mondiale, plus de 10 % des femmes enceintes et celles qui ont récemment donné naissance à une enfant souffrent de la dépression.",34.84912275982143,55.319148936170215,51.06382978723405
Ollama llama3.2,1.0,"Worldwide, more than 10% of pregnant women and women who have just given birth experience depression (2) .","Dans le monde, plus de 10 % des femmes enceintes et des femmes qui viennent d’accoucher souffrent de dépression (2) .","Désespérément, plus de 10 % des femmes enceintes et des femmes qui venant de donner naissance connaissent la dépression.",49.15533898804662,65.11627906976743,60.465116279069775
HF opus-mt,n/a,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, on estime que 727 000 personnes ont perdu la vie à cause du suicide.",10.934883431625593,64.28571428571429,50.0
Ollama llama3.2,0.0,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, on estime que 727 000 personnes sont décédées par suicide.",14.949751774990684,78.57142857142856,57.14285714285715
Ollama llama3.2,0.2,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, on estime que 727 000 personnes sont décédées par suicide.",14.949751774990684,78.57142857142856,57.14285714285715
Ollama llama3.2,0.5,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, on estime que 727 000 personnes sont décédées par suicides.",14.949751774990684,78.57142857142856,57.14285714285715
Ollama llama3.2,0.8,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, on estime que 727 000 personnes ont perdu la vie à cause de la suicide.",10.307386760781874,62.06896551724138,48.275862068965516
Ollama llama3.2,1.0,"In 2021, an estimated 727 000 people lost their lives to suicide.",On estime que quelque 727 000 personnes se sont suicidées en 2021.,"En 2021, il est estimé qu'about 727 000 personnes sont décédées par suicide.",11.633270842295028,59.999999999999986,40.00000000000001
HF opus-mt,n/a,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième cause de décès chez les jeunes de 15 à 29 ans.,57.389868780141875,91.42857142857143,91.42857142857143
Ollama llama3.2,0.0,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième cause de décès la plus fréquente chez les personnes âgées de 15 à 29 ans.,40.27672046365773,78.04878048780488,78.04878048780488
Ollama llama3.2,0.2,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième cause de décès la plus fréquente chez les personnes âgées de 15 à 29 ans.,40.27672046365773,78.04878048780488,78.04878048780488
Ollama llama3.2,0.5,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième principale cause de décès chez les personnes âgées de 15 à 29 ans.,42.46163317880343,84.21052631578947,84.21052631578947
Ollama llama3.2,0.8,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième principale cause de mort chez les personnes âgées de 15 à 29 ans.,27.678937062327712,72.22222222222221,72.22222222222221
Ollama llama3.2,1.0,Suicide is the third leading cause of death in 15–29-year-olds.,Le suicide est la troisième cause de décès chez les 15-29 ans (1).,Le suicide est la troisième cause de mort principale chez les 15-29 ans.,60.58398690011477,81.25,81.25
HF opus-mt,n/a,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .","Dans les pays à revenu élevé, seulement environ un tiers des personnes souffrant de dépression reçoivent un traitement de santé mentale (3) .",60.67232393057598,76.59574468085107,72.3404255319149
Ollama llama3.2,0.0,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .","Dans les pays à revenu élevé, seulement environ un tiers des personnes souffrant de dépression reçoivent une traitement de santé mentale.",43.93145832661804,73.91304347826087,69.56521739130434
Ollama llama3.2,0.2,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .","Dans les pays à revenu élevé, seulement environ un tiers des personnes souffrant de dépression reçoivent un traitement de santé mentale.",43.93145832661804,73.91304347826087,69.56521739130434
Ollama llama3.2,0.5,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .","Dans les pays à revenu élevé, seulement environ un tiers des personnes souffrant de dépression reçoivent un traitement de santé mentale.",43.93145832661804,73.91304347826087,69.56521739130434
Ollama llama3.2,0.8,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .",Seuls environ un tiers des personnes souffrant de dépression reçoivent un traitement de santé mentale dans les pays à revenus élevés.,24.68962058478191,76.59574468085107,51.06382978723404
Ollama llama3.2,1.0,"In high-income countries, only about one third of people with depression receive mental health treatment (3) .","Dans les pays à revenu élevé, seul un tiers environ des personnes souffrant de dépression bénéficient de soins de santé mentale (3) .","Dans les pays à revenu élevé, seulement environ un tiers des personnes souffrant de dépression reçoivent un traitement du système de santé mentale.",43.9871128242809,69.38775510204083,65.3061224489796
HF opus-mt,n/a,"Barriers to effective care include a lack of investment in mental health care, lack of trained health-care providers and social stigma associated with mental disorders.","Le manque de ressources, le manque d’investissements en faveur des soins de santé mentale, le manque de soignants formés et la stigmatisation sociale associée aux troubles mentaux sont autant d’obstacles à une prise en charge efficace.","Les obstacles à l'efficacité des soins comprennent le manque d'investissement dans les soins de santé mentale, le manque de dispensateurs de soins de santé qualifiés et la stigmatisation sociale associée aux troubles mentaux.",38.193952390874294,64.0,55.99999999999999
Ollama llama3.2,0.0,"Barriers to effective care include a lack of investment in mental health care, lack of trained health-care providers and social stigma associated with mental disorders.","Le manque de ressources, le manque d’investissements en faveur des soins de santé mentale, le manque de soignants formés et la stigmatisation sociale associée aux troubles mentaux sont autant d’obstacles à une prise en charge efficace.","Les barrières à un soin efficace incluent un manque d'investissement dans le soin de la santé mentale, un manque de professionnels de santé formés et une stigmatisation sociale associée aux troubles mentaux.",20.143527098529763,64.86486486486486,51.35135135135135
