source_en,reference_fr,similarity,topic
"People who have gone through adverse life events (unemployment, bereavement, traumatic events) are more likely to develop depression.","Les personnes qui ont vécu des épreuves (chômage, deuil, traumatismes) sont davantage susceptibles que les autres de souffrir de dépression.",0.82,Depression / Depression
"Depression can, in turn, lead to more stress and dysfunction and worsen the affected person’s life situation and the depression itself.","La dépression peut, à son tour, entraîner davantage de stress et de dysfonctionnements, ce qui aggrave la situation de la personne touchée et son état dépressif.",0.859,Depression / Depression
Depression is closely related to and affected by physical health.,"La dépression est étroitement liée à la santé physique, sur laquelle elle a une incidence.",0.872,Depression / Depression
"Many of the factors that influence depression (such as physical inactivity or harmful use of alcohol) are also known risk factors for diseases such as cardiovascular disease, cancer, diabetes and respiratory diseases.","Bon nombre des facteurs qui influent sur la dépression (comme l’inactivité physique ou l’usage nocif de l’alcool) sont également des facteurs de risque connus de pathologies telles que les maladies cardiovasculaires, le cancer, le diabète et les affections respiratoires.",0.915,Depression / Depression
"In turn, people with these diseases may also find themselves experiencing depression due to the difficulties associated with managing their condition.",Les personnes atteintes de ces pathologies peuvent également souffrir de dépression en raison des difficultés associées à la prise en charge de leur état.,0.87,Depression / Depression
Prevention programmes have been shown to reduce depression.,L’efficacité des programmes de prévention de la dépression est prouvée.,0.766,Depression / Depression
Effective community approaches to prevent depression include school-based programmes to enhance a pattern of positive coping in children and adolescents.,Les approches communautaires efficaces en la matière comprennent des programmes scolaires visant à renforcer une aptitude positive à faire face aux difficultés chez les enfants et les adolescents.,0.843,Depression / Depression
Interventions for parents of children with behavioural problems may reduce parental depressive symptoms and improve outcomes for their children.,Les interventions destinées aux parents d’enfants présentant des troubles du comportement peuvent soulager les symptômes dépressifs chez les parents et avoir des répercussions positives sur leurs enfants.,0.875,Depression / Depression
Exercise programmes for older persons can also be effective in depression prevention.,Les programmes d’exercice physique à l’intention des personnes âgées peuvent aussi prévenir efficacement la dépression.,0.903,Depression / Depression
There are effective treatments for depression.,Il existe des psychothérapies et des médicaments efficaces contre la dépression.,0.744,Depression / Depression
Seek care if you have symptoms of depression.,"Si vous présentez des symptômes de dépression, consultez un médecin.",0.791,Depression / Depression
Psychological treatments are the first treatments for depression.,Les psychothérapies sont les premiers traitements de la dépression.,0.904,Depression / Depression
They can be combined with antidepressant medications in moderate and severe depression.,"Dans les cas de dépression modérée ou sévère, elles peuvent être associées à la prise d’antidépresseurs.",0.8,Depression / Depression
Antidepressant medications are not needed for mild depression.,Les antidépresseurs ne sont pas nécessaires pour traiter la dépression légère.,0.869,Depression / Depression
"Psychological treatments can teach new ways of thinking, coping or relating to others.","Les psychothérapies peuvent modifier la façon de voir les choses, de faire face aux difficultés ou d’établir des relations avec autrui.",0.809,Depression / Depression
They may include talk therapy with professionals and supervised lay therapists.,"Il peut s’agir d’une thérapie par la parole avec des professionnels, voire avec des thérapeutes non professionnels encadrés.",0.745,Depression / Depression
Talk therapy can happen in person or online.,La thérapie par la parole peut se dérouler en présentiel ou en ligne.,0.88,Depression / Depression
"Psychological treatments may be accessed through self-help manuals, websites and apps.","Certains manuels d’auto-assistance, sites Web et applications mobiles proposent des aides psychologiques.",0.713,Depression / Depression
"Effective psychological treatments for depression include: Antidepressant medications include selective serotonin reuptake inhibitors (SSRIs), such as fluoxetine.","Les psychothérapies efficaces de la dépression sont les suivantes : Parmi les antidépresseurs, on peut citer les inhibiteurs sélectifs de la recapture de la sérotonine (ISRS), tels que la fluoxétine.",0.925,Depression / Depression
"Health-care providers should keep in mind the possible adverse effects associated with antidepressant medication, the ability to deliver either intervention (in terms of expertise, and/or treatment availability), and individual preferences.","Les soignants doivent tenir compte des effets indésirables possibles associés aux antidépresseurs, de la capacité à proposer l’une ou l’autre des interventions (en termes de compétences et/ou de disponibilité du traitement) et des préférences individuelles.",0.919,Depression / Depression
"Antidepressants should not be used for treating depression in children and are not the first line of treatment in adolescents, among whom they should be used with extra caution.","Les antidépresseurs ne doivent pas être utilisés pour traiter la dépression chez l’enfant et ne sont pas non plus à prescrire en première intention aux adolescents, chez qui ils doivent être utilisés avec une très grande prudence.",0.854,Depression / Depression
Different medications and treatments are used for bipolar disorder.,La prise en charge des troubles bipolaires repose sur différents médicaments et traitements.,0.825,Depression / Depression
Self-care can play an important role in managing symptoms of depression and promoting overall well-being.,Il peut être important de se prendre en charge soi-même pour soulager les symptômes de la dépression et favoriser le bien-être général.,0.837,Depression / Depression
"If you think you are in immediate danger of harming yourself, contact any available emergency services or a crisis line.","Si vous pensez que vous risquez immédiatement de vous faire du mal, contactez un service d’urgence ou un service téléphonique d’aide par l’écoute.",0.813,Depression / Depression
WHO’s Comprehensive Mental Health Action Plan 2013–2030 highlights the steps required to provide appropriate interventions for people with mental disorders including depression.,"Le Plan d’action global pour la santé mentale 2013-2030 de l’OMS décrit les mesures à prendre pour offrir des interventions appropriées aux personnes atteintes de troubles mentaux, dont la dépression.",0.916,Depression / Depression
Depression and self-harm/suicide are among the priority conditions covered by WHO’s Mental Health Gap Action Programme (mhGAP).,"La dépression, l’automutilation et le suicide figurent parmi les problèmes de santé prioritaires couverts par le Programme d’action Combler les lacunes en santé mentale (mhGAP) de l’OMS .",0.825,Depression / Depression
"The Programme aims to help countries increase services for people with mental, neurological and substance use disorders through care provided by health workers who are not specialists in mental health.","Ce programme a pour but d’aider les pays à élargir les services destinés aux personnes atteintes de troubles mentaux, neurologiques ou liés à l’utilisation de substances psychoactives, moyennant des soins dispensés par des soignants qui ne sont pas spécialisés en santé mentale.",0.887,Depression / Depression
WHO has developed brief psychological intervention manuals for depression that may be delivered by lay therapists to individuals and groups.,L’OMS a élaboré de brefs manuels présentant les interventions psychologiques pouvant être dispensées par des thérapeutes non professionnels aux individus et aux groupes en cas de dépression.,0.87,Depression / Depression
"An example is the Problem Management Plus (PM+) manual , which describes the use of behavioural activation, stress management, problem solving treatment and strengthening social support.","Le manuel Gestion des problèmes Plus , par exemple, décrit l’utilisation de l’activation comportementale, de la gestion du stress, de la thérapie par la résolution des problèmes et du renforcement du soutien social.",0.857,Depression / Depression
"Moreover, the Group Interpersonal Therapy for Depression manual describes group treatment of depression.","Par ailleurs, le manuel Thérapie interpersonnelle (‎TIP)‎ de groupe pour la dépression décrit la thérapie de groupe utilisée pour soigner la dépression.",0.876,Depression / Depression
"Finally, the Thinking Healthy manual covers the use of cognitive-behavioural therapy for perinatal depression. 1. 2021 Global Burden of Disease (GBD) [online database].","Enfin, le manuel Penser sain couvre l’utilisation de la thérapie cognitivo-comportementale pour la dépression périnatale.",0.771,Depression / Depression
"A mental disorder is characterized by a clinically significant disturbance in an individual’s cognition, emotional regulation, or behaviour.","Un trouble mental se caractérise par une altération majeure, sur le plan clinique, de l’état cognitif, de la régulation des émotions ou du comportement.",0.844,Mental disorders / Troubles mentaux
It is usually associated with distress or impairment in important areas of functioning.,Il s’accompagne généralement d’un sentiment de détresse ou de déficiences fonctionnelles dans des domaines importants.,0.851,Mental disorders / Troubles mentaux
There are many different types of mental disorders.,"Il existe de nombreux types de troubles mentaux, également appelés troubles de santé mentale.",0.765,Mental disorders / Troubles mentaux
"The latter is a broader term covering mental disorders, psychosocial disabilities and (other) mental states associated with significant distress, impairment in functioning, or risk of self-harm.","Cette dernière expression, plus large, englobe les troubles mentaux, les handicaps psychosociaux et d’autres états mentaux associés à un sentiment de détresse, à des déficiences fonctionnelles ou à un risque de comportement auto-agressif importants.",0.823,Mental disorders / Troubles mentaux
This fact sheet focuses on mental disorders as described by the International Classification of Diseases 11th Revision (ICD-11).,Ces Principaux repères portent sur les troubles mentaux décrits dans la Onzième Révision de la Classification internationale des maladies (CIM-11).,0.789,Mental disorders / Troubles mentaux
"In 2021, nearly 1 in every 7 people (1.1 billion) around the world were living with a mental disorder, with anxiety and depressive disorders the most common (1).","En 2021, 1,1 milliard de personnes (soit une sur sept) dans le monde présentaient un trouble mental, les troubles anxieux et les troubles dépressifs étant les plus courants (1) .",0.93,Mental disorders / Troubles mentaux
"While effective prevention and treatment options exist, most people with mental disorders do not have access to effective care.","Alors qu’il est possible de prévenir et de traiter efficacement ces troubles, la plupart des personnes qui en souffrent n’ont pas accès à des soins efficaces.",0.794,Mental disorders / Troubles mentaux
"Many people also experience stigma, discrimination and violations of human rights.",Nombre d’entre elles sont également victimes de stigmatisation ou de discrimination et leurs droits humains ne sont pas respectés.,0.77,Mental disorders / Troubles mentaux
"In 2021, 359 million people were living with an anxiety disorder including 72 million children and adolescents (1).","En 2021, 359 millions de personnes, dont 72 millions d’enfants et d’adolescents, présentaient un trouble anxieux (1) .",0.924,Mental disorders / Troubles mentaux
Anxiety disorders are characterised by excessive fear and worry and related behavioural disturbances.,Les troubles anxieux se caractérisent par une peur et une inquiétude excessives et par des troubles du comportement connexes.,0.926,Mental disorders / Troubles mentaux
Symptoms are severe enough to result in significant distress or significant impairment in functioning.,Les symptômes sont suffisamment graves pour entraîner un sentiment de détresse important ou des déficiences fonctionnelles majeures.,0.86,Mental disorders / Troubles mentaux
"There are several different kinds of anxiety disorders, such as: generalized anxiety disorder (characterised by excessive worry), panic disorder (characterised by panic attacks), social anxiety disorder (characterised by excessive fear and worry in social situations), separation anxiety disorder (characterised by excessive fear or anxiety about separation from those individuals to whom the person has a deep emotional bond), and others.","Il existe plusieurs types de troubles anxieux, dont le trouble d’anxiété généralisée (caractérisé par une inquiétude excessive), le trouble panique (caractérisé par des attaques de panique), le trouble d’anxiété sociale (caractérisé par une peur et une inquiétude excessives dans des situations sociales) et le trouble d’anxiété de séparation (caractérisé par une peur ou une anxiété à l’idée d’être séparé des personnes avec lesquelles on a un lien affectif fort).",0.921,Mental disorders / Troubles mentaux
"Effective psychological treatment exists, and depending on the age and severity, medication may also be considered.","Il existe des traitements psychologiques efficaces et, en fonction de l’âge et de la gravité de la dépression, des traitements médicamenteux peuvent aussi être envisagés.",0.828,Mental disorders / Troubles mentaux
Depression is different from usual mood fluctuations and short-lived emotional responses to challenges in everyday life.,La dépression diffère des sautes d’humeur habituelles et des réactions émotionnelles passagères face aux problèmes du quotidien.,0.853,Mental disorders / Troubles mentaux
"During a depressive episode, the person experiences depressed mood (feeling sad, irritable, empty) or a loss of pleasure or interest in activities, for most of the day, nearly every day, for at least two weeks.","Un épisode dépressif se caractérise par une morosité de l’humeur morose (sentiment de tristesse, d’irritabilité, de vide) ou une perte de plaisir ou d’intérêt, pendant la majeure partie de la journée, presque tous les jours, pendant au moins deux semaines.",0.865,Mental disorders / Troubles mentaux
"Several other symptoms are also present, which may include poor concentration, feelings of excessive guilt or low self-worth, hopelessness about the future, thoughts about dying or suicide, disrupted sleep, changes in appetite or weight, and feeling especially tired or low in energy.","Plusieurs autres symptômes peuvent également être présents : difficultés de concentration, sentiment de culpabilité excessive ou dévalorisation de soi, sentiment de désespoir face à l’avenir, pensées liées à la mort ou au suicide, troubles du sommeil, variations de l’appétit ou du poids, et sensation de grande fatigue ou de manque d’énergie.",0.9,Mental disorders / Troubles mentaux
People with depression are at an increased risk of suicide.,Les personnes dépressives sont plus exposées que les autres au risque de suicide.,0.848,Mental disorders / Troubles mentaux
"Yet, effective psychological treatment exists, and depending on the age and severity, medication may also be considered.","Cependant, il existe des traitements psychologiques efficaces et, en fonction de l’âge et de la gravité de la dépression, des traitements médicamenteux peuvent aussi être envisagés.",0.854,Mental disorders / Troubles mentaux
"In 2021, 37 million people experienced bipolar disorder, including 3.8 milion adolescents aged 10–19 years (1).","En 2021, 37 millions de personnes, dont 3,8 millions d’adolescents âgés de 10 à 19 ans, présentaient un trouble bipolaire (1) .",0.957,Mental disorders / Troubles mentaux
People with bipolar disorder experience alternating depressive episodes with periods of manic symptoms.,"Les personnes atteintes d’un trouble bipolaire présentent, en alternance, des épisodes dépressifs et des épisodes maniaques.",0.842,Mental disorders / Troubles mentaux
"Manic symptoms may include euphoria or irritability, increased activity or energy, and other symptoms such as increased talkativeness, racing thoughts, increased self-esteem, decreased need for sleep, distractibility, and impulsive reckless behaviour.","Les épisodes maniaques se caractérisent par une euphorie excessive ou une irritabilité, une hyperactivité ou une énergie décuplée, ainsi qu’une logorrhée, une fuite des idées, une estime de soi exagérée, une réduction du besoin de sommeil, une distractibilité, et un comportement impulsif et téméraire.",0.788,Mental disorders / Troubles mentaux
People with bipolar disorder are at an increased risk of suicide.,Les personnes qui présentent un trouble bipolaire sont plus exposées que les autres au risque de suicide.,0.865,Mental disorders / Troubles mentaux
"Yet effective treatment options exist including psychoeducation, reduction of stress and strengthening of social functioning, and medication.","Des traitements efficaces existent toutefois, notamment la psychoéducation, la réduction du stress et le renforcement du fonctionnement en milieu social, ainsi que les traitements médicamenteux.",0.912,Mental disorders / Troubles mentaux
PTSD may develop following exposure to an extremely threatening or horrific event or series of events.,Un trouble de stress post-traumatique peut survenir à la suite d’un événement ou d’une série d’événements particulièrement menaçants ou horribles.,0.832,Mental disorders / Troubles mentaux
"It is characterised by all of the following: 1) re-experiencing the traumatic event or events in the present (intrusive memories, flashbacks, or nightmares); 2) avoidance of thoughts and memories of the event(s), or avoidance of activities, situations, or people reminiscent of the event(s); and 3) persistent perceptions of heightened current threat.","Ce trouble se caractérise par l’ensemble des symptômes suivants : 1) la personne revit l’événement ou les événements traumatisants (souvenirs envahissants, réminiscences ou cauchemars) ; 2) la personne évite de penser à l’événement ou aux événements, ou de se les rappeler, ou évite les activités, situations ou personnes qui les lui rappellent ; et 3) la personne perçoit une menace accrue en permanence.",0.902,Mental disorders / Troubles mentaux
These symptoms persist for at least several weeks and cause significant impairment in functioning.,Ces symptômes durent au moins plusieurs semaines et provoquent d’importantes déficiences fonctionnelles.,0.908,Mental disorders / Troubles mentaux
Effective psychological treatment exists.,Il existe des traitements psychologiques efficaces.,0.881,Mental disorders / Troubles mentaux
Schizophrenia affects approximately 23 million people or 1 in 345 people worldwide (1).,La schizophrénie touche environ 23 millions de personnes – soit une sur 345 – dans le monde (1) .,0.927,Mental disorders / Troubles mentaux
People with schizophrenia have a life expectancy nine years below that of the general population (2).,Les personnes qui en sont atteintes ont une espérance de vie de neuf ans inférieure à celle de la population générale (2) .,0.86,Mental disorders / Troubles mentaux
Schizophrenia is characterised by significant impairments in perception and changes in behaviour.,La schizophrénie se caractérise par une distorsion notable de la perception et par des altérations du comportement.,0.93,Mental disorders / Troubles mentaux
"Symptoms may include persistent delusions, hallucinations, disorganised thinking, highly disorganised behaviour, or extreme agitation.","Les symptômes sont notamment les suivants : idées délirantes récurrentes, hallucinations, désorganisation de la pensée et du comportement ou agitation extrême.",0.872,Mental disorders / Troubles mentaux
People with schizophrenia may experience persistent difficulties with their cognitive functioning.,Les personnes atteintes de schizophrénie peuvent éprouver des difficultés cognitives durables.,0.845,Mental disorders / Troubles mentaux
"Yet, a range of effective treatment options exist, including medication, psychoeducation, family interventions, and psychosocial rehabilitation.","Il existe toutefois des options thérapeutiques (traitements médicamenteux, psychoéducation, interventions en milieu familial et réadaptation psychosociale).",0.831,Mental disorders / Troubles mentaux
"In 2021, 16 million people experienced eating disorders including almost 3.4 million children and adolescents (1).","En 2021, 16 millions de personnes, dont près de 3,4 millions d’enfants et d’adolescents, présentaient des troubles de l’alimentation (1) .",0.939,Mental disorders / Troubles mentaux
"Eating disorders, such as anorexia nervosa and bulimia nervosa, involve abnormal eating and preoccupation with food as well as prominent body weight and shape concerns.","Les troubles de l’alimentation, tels que l’anorexie mentale et la boulimie nerveuse, se caractérisent par un comportement alimentaire anormal et une préoccupation excessive pour la nourriture, qui s’accompagnent de vives inquiétudes concernant le poids et la forme du corps.",0.856,Mental disorders / Troubles mentaux
"The symptoms or behaviours result in significant risk or damage to health, significant distress, or significant impairment of functioning.","Ces symptômes ou comportements entraînent un risque voire des effets très néfastes pour la santé, un grand sentiment de détresse ou encore des déficiences fonctionnelles majeures.",0.9,Mental disorders / Troubles mentaux
Anorexia nervosa often has its onset during adolescence or early adulthood and is associated with premature death due to medical complications or suicide.,"L’anorexie mentale apparaît souvent pendant l’adolescence ou au début de l’âge adulte et est associée à une mort prématurée, due à des complications médicales ou au suicide.",0.882,Mental disorders / Troubles mentaux
"Individuals with bulimia nervosa are at a significantly increased risk for substance use, suicidality, and health complications.","Les personnes boulimiques sont exposées à un risque significativement accru d’usage de substances psychoactives, de suicide et de complications médicales.",0.834,Mental disorders / Troubles mentaux
"Effective treatment options exist, including family-based treatment and cognitive-based therapy.","Il existe des traitements efficaces, notamment des thérapies familiales et cognitives.",0.857,Mental disorders / Troubles mentaux
"In 2021, 41 million people, including children and adolescents, were living with conduct-dissocial disorder (1).","En 2019, 41 millions de personnes, y compris des enfants et des adolescents, présentaient un trouble de la personnalité antisociale (1) .",0.833,Mental disorders / Troubles mentaux
"This disorder, also known as conduct disorder, is one of two disruptive behaviour and dissocial disorders, the other is oppositional defiant disorder.","Ce trouble, aussi connu sous le nom de trouble des conduites, constitue l’un des deux troubles dyssociaux, le second étant le trouble oppositionnel avec provocation.",0.855,Mental disorders / Troubles mentaux
"Disruptive behaviour and dissocial disorders are characterised by persistent behaviour problems such as persistently defiant or disobedient to behaviours that persistently violate the basic rights of others or major age-appropriate societal norms, rules, or laws.","Le trouble de la personnalité antisociale se caractérise par des troubles du comportement récurrents (actes de provocation ou de désobéissance incessants ou comportements systématiquement contraires aux droits fondamentaux d’autrui ou aux principales normes, règles ou lois de nature sociale applicables à l’âge de la personne).",0.753,Mental disorders / Troubles mentaux
"Effective psychological treatments exist, such as cognitive problem-solving and/or social skills training, and often involve parents, caregivers, and teachers.","Il existe des traitements psychologiques efficaces (acquisition d’aptitudes cognitives à la résolution des problèmes ou de compétences sociales), auxquels doivent souvent participer les parents, les aidants et les enseignants.",0.817,Mental disorders / Troubles mentaux
"Neurodevelopmental disorders are behavioural and cognitive disorders, that arise during the developmental period, and involve significant difficulties in the acquisition and execution of specific intellectual, motor, language, or social functions.","Les troubles neurodéveloppementaux sont des troubles du comportement et cognitifs qui surviennent au cours du développement et entraînent des difficultés importantes dans l’acquisition et l’exécution de fonctions intellectuelles, motrices, langagières ou sociales spécifiques.",0.893,Mental disorders / Troubles mentaux
"Neurodevelopmental disorders include disorders of intellectual development, autism spectrum disorder, and attention deficit hyperactivity disorder (ADHD) amongst others.","Parmi les troubles neurodéveloppementaux figurent le trouble du développement intellectuel, le trouble du spectre de l’autisme et le trouble du déficit de l’attention avec ou sans hyperactivité (TDA/H).",0.855,Mental disorders / Troubles mentaux
"ADHD is characterised by a persistent pattern of inattention and/or hyperactivity-impulsivity that has a direct negative impact on academic, occupational, or social functioning.","Ce dernier se caractérise par une inattention et/ou une hyperactivité-impulsivité persistantes qui ont des effets négatifs directs sur le fonctionnement scolaire, professionnel ou social.",0.865,Mental disorders / Troubles mentaux
"Disorders of intellectual development are characterised by significant limitations in intellectual functioning and adaptive behaviour, which refers to difficulties with everyday conceptual , social, and practical skills that are performed in daily life.","Les troubles du développement intellectuel se manifestent par un fonctionnement intellectuel et un comportement adaptatif extrêmement limités, c’est-à-dire des difficultés à acquérir les aptitudes théoriques, sociales et pratiques nécessaires à la vie quotidienne.",0.876,Mental disorders / Troubles mentaux
"Autism spectrum disorder (ASD) constitutes a diverse group of conditions characterised by some degree of difficulty with social communication and reciprocal social interaction, as well as persistent restricted, repetitive, and inflexible patterns of behaviour, interests, or activities.","Le trouble du spectre de l’autisme regroupe un ensemble d’affections qui se caractérisent par un certain degré d’altération de la communication sociale et des interactions sociales, ainsi que par des modes de comportements, intérêts ou activités qui sont systématiquement limités, répétitifs et rigides.",0.89,Mental disorders / Troubles mentaux
"Effective treatment options exist including psychosocial interventions, behavioural interventions, occupational and speech therapy.","Il existe des options thérapeutiques efficaces (interventions psychosociales, interventions comportementales, ergothérapie et orthophonie).",0.814,Mental disorders / Troubles mentaux
"For certain diagnoses and age groups, medication may also be considered.","Pour certains diagnostics et certaines tranches d’âge, des traitements médicamenteux peuvent aussi être envisagés.",0.886,Mental disorders / Troubles mentaux
"At any one time, a diverse set of individual, family, community, and structural factors may combine to protect or undermine mental health.","Différents facteurs individuels, familiaux, communautaires et structurels peuvent se combiner pour former un ensemble qui protège ou, au contraire, compromet la santé mentale.",0.825,Mental disorders / Troubles mentaux
"Although most people are resilient, people who are exposed to adverse circumstances – including poverty, violence, disability, and inequality – are at higher risk.","Si la plupart des personnes sont résilientes, celles qui sont exposées à des conditions difficiles – y compris la pauvreté, la violence, le handicap et les inégalités – sont plus vulnérables.",0.888,Mental disorders / Troubles mentaux
"Protective and risk factors include individual psychological and biological factors, such as emotional skills as well as genetics.","Parmi les facteurs de protection et de risque figurent les facteurs psychologiques et biologiques, tels que les compétences émotionnelles et la génétique.",0.874,Mental disorders / Troubles mentaux
Many of the risk and protective factors are influenced through changes in brain structure and/or function.,Les changements intervenant dans la structure et/ou le fonctionnement du cerveau ont une influence sur de nombreux facteurs de protection et de risque.,0.851,Mental disorders / Troubles mentaux
Health systems have not yet adequately responded to the needs of people with mental disorders and are significantly under resourced.,Les systèmes de santé ne répondent pas encore de manière adéquate aux besoins des personnes qui présentent des troubles mentaux et font face à un manque criant de ressources.,0.905,Mental disorders / Troubles mentaux
The gap between the need for treatment and its provision is wide all over the world; and is often poor in quality when delivered.,"Partout dans le monde, il existe un écart béant entre l’offre et les besoins de traitements.",0.714,Mental disorders / Troubles mentaux
"For example, only 29% of people with psychosis (3) and only one third of people with depression receive formal mental health care (4).","Par exemple, seulement 29 % des personnes présentant une psychose (3) et un tiers des personnes atteintes de dépression reçoivent des soins de santé mentale structurés (4) .",0.919,Mental disorders / Troubles mentaux
"People with mental disorders also require social support, including support in developing and maintaining personal, family, and social relationships.","Par ailleurs, les personnes atteintes d’un trouble mental ont besoin de soutien social, notamment pour nouer et entretenir des relations personnelles, familiales et sociales.",0.876,Mental disorders / Troubles mentaux
"People with mental disorders may also need support for educational programmes, employment, housing, and participation in other meaningful activities.","Elles peuvent aussi avoir besoin d’aide pour suivre une formation, trouver un emploi et un logement, et prendre part à d’autres activités intéressantes.",0.771,Mental disorders / Troubles mentaux
WHO’s Comprehensive Mental Health Action Plan 2013–2030 recognizes the essential role of mental health in achieving health for all people.,"Dans son Plan d’action global pour la santé mentale 2013-2030 , l’OMS reconnaît le rôle essentiel que joue la santé mentale à l’égard de l’objectif de la santé pour toutes et tous.",0.869,Mental disorders / Troubles mentaux
"The plan includes four major objectives: WHO's Mental Health Gap Action Programme (mhGAP) uses evidence-based technical guidance, tools and training packages to expand services in countries, especially in resource-poor settings.","Ce plan comporte quatre grands objectifs : Le Programme d’action Combler les lacunes en santé mentale (mhGAP) s’appuie sur des orientations, outils et supports de formation fondés sur des données factuelles pour développer les services dans les pays, en particulier ceux dont les ressources sont limitées.",0.836,Mental disorders / Troubles mentaux
"It focuses on a prioritized set of conditions, directing capacity building towards non-specialized health-care providers in an integrated approach that promotes mental health at all levels of care.","Il porte sur un ensemble prioritaire d’affections, orientant le renforcement des capacités vers les prestataires de soins non spécialisés dans le cadre d’une approche intégrée en faveur de la santé mentale à tous les niveaux des soins.",0.836,Mental disorders / Troubles mentaux
"The WHO mhGAP Intervention Guide 2.0 is part of this programme, and provides guidance for doctors, nurses, and other health workers in non-specialist health settings on assessment and management of mental disorders. 1) 2021 Global Burden of Disease (GBD) [online database].","La version 2.0 du Guide d’intervention mhGAP de l’OMS , qui fait partie de ce programme, contient des orientations sur l’évaluation et la prise en charge des troubles mentaux à l’intention des médecins, du personnel infirmier et des professionnels de santé travaillant dans des contextes sanitaires non spécialisés. (1) 2021 Global Burden of Disease (GBD) [base de données en ligne].",0.885,Mental disorders / Troubles mentaux
